card_name,play_count_2p,total_weighted_x,count_weighted_x,weighted_avg_score_x,weighted_2p,play_count_4p,total_weighted_y,count_weighted_y,weighted_avg_score_y,weighted_4p,cn_name,cn_name_plot,wr_diff_2p,wr_diff_4p,total_diff
Dyson Screens,405,541.0,405,1.3397590361445784,1.34,1153,2642.0,1153,2.293207222699914,2.29,戴森屏,戴森屏,-0.15999999999999992,-0.20999999999999996,-0.3699999999999999
EM Drive,109,149.0,109,1.3781512605042017,1.38,543,1302.0,543,2.399638336347197,2.4,无工质推进飞船,无工质推进飞船,-0.1200000000000001,-0.10000000000000009,-0.2200000000000002
Early Expedition,184,258.0,184,1.407216494845361,1.41,715,1721.0,715,2.4082758620689657,2.41,早期探险,早期探险,-0.09000000000000008,-0.08999999999999986,-0.17999999999999994
Earth Catapult,723,1006.0,723,1.3929058663028648,1.39,1621,3561.0,1621,2.198651134273452,2.2,地球发射站,地球发射站,-0.1100000000000001,-0.2999999999999998,-0.4099999999999999
Earth Elevator,474,664.0,474,1.4028925619834711,1.4,591,1492.0,591,2.524126455906822,2.52,地球太空梯,地球太空梯,-0.10000000000000009,0.020000000000000018,-0.08000000000000007
Earth Office,651,900.0,651,1.384266263237519,1.38,1698,3880.0,1698,2.2862997658079625,2.29,地球办公室,地球办公室,-0.1200000000000001,-0.20999999999999996,-0.33000000000000007
Ecological Survey,436,567.0,436,1.304932735426009,1.3,1139,2544.0,1139,2.2358572671888597,2.24,生态调查,生态调查,-0.19999999999999996,-0.2599999999999998,-0.45999999999999974
Ecological Zone,150,204.0,150,1.36875,1.37,99,196.0,99,2.0275229357798166,2.03,生态保护区,生态保护区,-0.1299999999999999,-0.4700000000000002,-0.6000000000000001
Ecological Zone:ares,449,595.0,449,1.328976034858388,1.33,1444,3109.0,1444,2.155433287482806,2.16,Ecological Zone:ares,Ecological Zone:ares,-0.16999999999999993,-0.33999999999999986,-0.5099999999999998
Ecology Research,471,631.0,471,1.343035343035343,1.34,714,1494.0,714,2.0980662983425415,2.1,生态学研究,生态学研究,-0.15999999999999992,-0.3999999999999999,-0.5599999999999998
Economic Espionage,179,247.0,179,1.3862433862433863,1.39,308,763.0,308,2.4779874213836477,2.48,经济间谍活动,经济间谍活动,-0.1100000000000001,-0.020000000000000018,-0.13000000000000012
Economic Help,181,259.0,181,1.4345549738219896,1.43,244,617.0,244,2.52755905511811,2.53,经济援助,经济援助,-0.07000000000000006,0.029999999999999805,-0.04000000000000026
Electric Sheep,429,597.0,429,1.3940774487471526,1.39,663,1502.0,663,2.2689450222882614,2.27,电子羊,电子羊,-0.1100000000000001,-0.22999999999999998,-0.3400000000000001
Electro Catapult,395,554.0,395,1.4049382716049383,1.4,722,1789.0,722,2.478142076502732,2.48,电磁弹射器,电磁弹射器,-0.10000000000000009,-0.020000000000000018,-0.1200000000000001
Energy Market,564,776.0,564,1.3780487804878048,1.38,1562,3506.0,1562,2.24618320610687,2.25,能源市场,能源市场,-0.1200000000000001,-0.25,-0.3700000000000001
Energy Saving,148,208.0,148,1.4113924050632911,1.41,222,525.0,222,2.3706896551724137,2.37,节能减排,节能减排,-0.09000000000000008,-0.1299999999999999,-0.21999999999999997
Energy Station,382,518.0,382,1.3596938775510203,1.36,1159,2713.0,1159,2.3421727972626174,2.34,能源站,能源站,-0.1399999999999999,-0.16000000000000014,-0.30000000000000004
Energy Supply,355,477.0,355,1.347945205479452,1.35,1091,2535.0,1091,2.3251589464123525,2.33,电力补给,电力补给,-0.1499999999999999,-0.16999999999999993,-0.31999999999999984
Energy Tapping,339,481.0,339,1.4212034383954155,1.42,603,1418.0,603,2.3539967373572592,2.35,能量开发,能量开发,-0.08000000000000007,-0.1499999999999999,-0.22999999999999998
Envoys From Venus,154,223.0,154,1.451219512195122,1.45,1025,2252.0,1025,2.2,2.2,金星来使,金星来使,-0.050000000000000044,-0.2999999999999998,-0.34999999999999987
Eos Chasma National Park,518,731.0,518,1.4128787878787878,1.41,1156,2501.0,1156,2.1663807890222984,2.17,Eos 峡谷国家公园,Eos 峡谷国家公园,-0.09000000000000008,-0.33000000000000007,-0.42000000000000015
Equatorial Magnetizer,178,234.0,178,1.324468085106383,1.32,220,506.0,220,2.3086956521739133,2.31,赤道导磁体,赤道导磁体,-0.17999999999999994,-0.18999999999999995,-0.3699999999999999
Event Analysts,155,220.0,155,1.4242424242424243,1.42,852,1995.0,852,2.34338747099768,2.34,事件分析,事件分析,-0.08000000000000007,-0.16000000000000014,-0.2400000000000002
Excavator Leasing,26,38.0,26,1.4722222222222223,1.47,14,31.0,14,2.3333333333333335,2.33,挖掘机租赁,挖掘机租赁,-0.030000000000000027,-0.16999999999999993,-0.19999999999999996
Expedition Vehicles,190,258.0,190,1.365,1.36,802,1850.0,802,2.3091133004926108,2.31,远征车,远征车,-0.1399999999999999,-0.18999999999999995,-0.32999999999999985
Expedition to the Surface - Venus,444,599.0,444,1.3524229074889869,1.35,1325,2973.0,1325,2.245692883895131,2.25,金星表面探险,金星表面探险,-0.1499999999999999,-0.25,-0.3999999999999999
Extractor Balloons,194,247.0,194,1.2843137254901962,1.28,291,695.0,291,2.39202657807309,2.39,热气球提取器,热气球提取器,-0.21999999999999997,-0.10999999999999988,-0.32999999999999985
Extreme-Cold Fungus,323,453.0,323,1.4054054054054055,1.41,581,1380.0,581,2.3773265651438242,2.38,极寒真菌,极寒真菌,-0.09000000000000008,-0.1200000000000001,-0.2100000000000002
Extremophiles,763,1081.0,763,1.4178525226390686,1.42,1842,4185.0,1842,2.273218142548596,2.27,极端微生物,极端微生物,-0.08000000000000007,-0.22999999999999998,-0.31000000000000005
Fall of Sunrise,470,644.0,470,1.3729166666666666,1.37,1408,3242.0,1408,2.3039492242595205,2.3,拂晓陨落,拂晓陨落,-0.1299999999999999,-0.20000000000000018,-0.33000000000000007
Farming,386,529.0,386,1.3737373737373737,1.37,769,1668.0,769,2.173299101412067,2.17,农业,农业,-0.1299999999999999,-0.33000000000000007,-0.45999999999999996
Field-Capped City,570,801.0,570,1.4068965517241379,1.41,1227,2861.0,1227,2.3330638641875505,2.33,磁场穹顶城市,磁场穹顶城市,-0.09000000000000008,-0.16999999999999993,-0.26
Fish,412,556.0,412,1.353080568720379,1.35,818,1821.0,818,2.2294685990338166,2.23,鱼,鱼,-0.1499999999999999,-0.27,-0.41999999999999993
Flat Mars Theory,74,108.0,74,1.4642857142857142,1.46,269,697.0,269,2.587813620071685,2.59,火星平面理论,火星平面理论,-0.040000000000000036,0.08999999999999986,0.04999999999999982
Fleet Recycling,241,326.0,241,1.3585657370517927,1.36,1036,2364.0,1036,2.283938814531549,2.28,飞船回收,飞船回收,-0.1399999999999999,-0.2200000000000002,-0.3600000000000001
Floater Leasing,231,329.0,231,1.4273858921161826,1.43,388,886.0,388,2.2889447236180906,2.29,漂浮物租贷,漂浮物租贷,-0.07000000000000006,-0.20999999999999996,-0.28
Floater Prototypes,537,737.0,537,1.3747714808043876,1.37,1236,2955.0,1236,2.391653290529695,2.39,造云原型机,造云原型机,-0.1299999999999999,-0.10999999999999988,-0.23999999999999977
Floater Technology,502,713.0,502,1.421875,1.42,876,2051.0,876,2.3431151241534987,2.34,漂浮物科技,漂浮物科技,-0.08000000000000007,-0.16000000000000014,-0.2400000000000002
Floater-Urbanism,316,439.0,316,1.392638036809816,1.39,820,1807.0,820,2.207228915662651,2.21,施韦伯城市规划,施韦伯城市规划,-0.1100000000000001,-0.29000000000000004,-0.40000000000000013
Floating Habs,601,848.0,601,1.4124386252045826,1.41,1456,3351.0,1456,2.3028649386084585,2.3,漂浮舱,漂浮舱,-0.09000000000000008,-0.20000000000000018,-0.29000000000000026
Floating Refinery,588,808.0,588,1.3762541806020068,1.38,1511,3279.0,1511,2.1722550953320185,2.17,漂浮精炼厂,漂浮精炼厂,-0.1200000000000001,-0.33000000000000007,-0.4500000000000002
Flooding,307,428.0,307,1.3974763406940063,1.4,811,1916.0,811,2.364190012180268,2.36,洪水,洪水,-0.10000000000000009,-0.14000000000000012,-0.2400000000000002
Floyd Continuum,603,839.0,603,1.3931484502446982,1.39,1738,4081.0,1738,2.348970251716247,2.35,弗洛伊德连续体,弗洛伊德连续体,-0.1100000000000001,-0.1499999999999999,-0.26
Food Factory,282,391.0,282,1.3904109589041096,1.39,369,917.0,369,2.4854881266490767,2.49,食品工厂,食品工厂,-0.1100000000000001,-0.009999999999999787,-0.11999999999999988
Forced Precipitation,288,399.0,288,1.389261744966443,1.39,702,1587.0,702,2.264044943820225,2.26,强制降水,强制降水,-0.1100000000000001,-0.2400000000000002,-0.3500000000000003
Forest Moon (VI),88,107.0,88,1.2448979591836735,1.24,292,614.0,292,2.115894039735099,2.12,Forest Moon (VI),Forest Moon (VI),-0.26,-0.3799999999999999,-0.6399999999999999
Freyja Biodomes,455,619.0,455,1.3634408602150538,1.36,947,2019.0,947,2.135841170323929,2.14,弗雷雅生态馆,弗雷雅生态馆,-0.1399999999999999,-0.3599999999999999,-0.4999999999999998
Friends in High Places,17,28.0,17,1.5925925925925926,1.59,114,262.0,114,2.314516129032258,2.31,高层人脉,高层人脉,0.09000000000000008,-0.18999999999999995,-0.09999999999999987
Frontier Town,104,156.0,104,1.5,1.5,1031,2228.0,1031,2.164265129682997,2.16,边疆小镇,边疆小镇,0.0,-0.33999999999999986,-0.33999999999999986
Fuel Factory,444,634.0,444,1.4295154185022025,1.43,749,1981.0,749,2.642951251646904,2.64,油脂工厂,油脂工厂,-0.07000000000000006,0.14000000000000012,0.07000000000000006
Fueled Generators,476,671.0,476,1.4115226337448559,1.41,1054,2435.0,1054,2.31203007518797,2.31,燃料发动机,燃料发动机,-0.09000000000000008,-0.18999999999999995,-0.28
Fusion Power,523,712.0,523,1.3639774859287055,1.36,732,1791.0,732,2.4474393530997305,2.45,聚变能源,聚变能源,-0.1399999999999999,-0.04999999999999982,-0.18999999999999972
GHG Factories,153,201.0,153,1.3251533742331287,1.33,181,448.0,181,2.4764397905759163,2.48,温室气体工厂,温室气体工厂,-0.16999999999999993,-0.020000000000000018,-0.18999999999999995
GHG Import From Venus,353,485.0,353,1.3774104683195592,1.38,374,856.0,374,2.2942708333333335,2.29,从金星导入温室气体,从金星导入温室气体,-0.1200000000000001,-0.20999999999999996,-0.33000000000000007
GHG Producing Bacteria,385,537.0,385,1.3974683544303796,1.4,829,1907.0,829,2.302741358760429,2.3,温室气体生产细菌,温室气体生产细菌,-0.10000000000000009,-0.20000000000000018,-0.30000000000000027
GHG Shipment,72,102.0,72,1.4268292682926829,1.43,364,742.0,364,2.050802139037433,2.05,温室气体运输,温室气体运输,-0.07000000000000006,-0.4500000000000002,-0.5200000000000002
GMO Contract,190,260.0,190,1.375,1.38,1578,3564.0,1578,2.2600755667506296,2.26,转基因生物合约,转基因生物合约,-0.1200000000000001,-0.2400000000000002,-0.3600000000000003
Galilean Waystation,394,537.0,394,1.3663366336633664,1.37,1005,2475.0,1005,2.4630541871921183,2.46,伽利略中转站,伽利略中转站,-0.1299999999999999,-0.040000000000000036,-0.16999999999999993
Ganymede Colony,633,863.0,633,1.3654743390357698,1.37,1431,3168.0,1431,2.215822345593338,2.22,木卫三殖民地,木卫三殖民地,-0.1299999999999999,-0.2799999999999998,-0.4099999999999997
Gene Repair,610,843.0,610,1.3838709677419354,1.38,1327,3176.0,1327,2.3941660433807033,2.39,基因修复,基因修复,-0.1200000000000001,-0.10999999999999988,-0.22999999999999998
Geodesic Tents,50,69.0,50,1.4,1.4,16,36.0,16,2.3461538461538463,2.35,地球仪形帐篷,地球仪形帐篷,-0.10000000000000009,-0.1499999999999999,-0.25
Geological Expedition,378,520.0,378,1.3788659793814433,1.38,1079,2459.0,1079,2.28099173553719,2.28,地质探险,地质探险,-0.1200000000000001,-0.2200000000000002,-0.3400000000000003
Geological Survey,332,455.0,332,1.3742690058479532,1.37,872,2074.0,872,2.379818594104308,2.38,地质调查,地质调查,-0.1299999999999999,-0.1200000000000001,-0.25
Geological Survey:underworld,19,26.0,19,1.4137931034482758,1.41,11,26.0,11,2.4285714285714284,2.43,地质调查,地质调查,-0.09000000000000008,-0.06999999999999984,-0.15999999999999992
Geologist Team,20,33.0,20,1.6,1.6,10,22.0,10,2.35,2.35,地质学家团队,地质学家团队,0.10000000000000009,-0.1499999999999999,-0.04999999999999982
Geoscan Satellite,17,26.0,17,1.5185185185185186,1.52,11,23.0,11,2.2857142857142856,2.29,地质扫描卫星,地质扫描卫星,0.020000000000000018,-0.20999999999999996,-0.18999999999999995
Geothermal Power,407,590.0,407,1.4508393285371703,1.45,846,2109.0,846,2.4929906542056073,2.49,地热能,地热能,-0.050000000000000044,-0.009999999999999787,-0.05999999999999983
Giant Ice Asteroid,419,577.0,419,1.3799533799533799,1.38,888,2023.0,888,2.2806236080178173,2.28,巨冰行星,巨冰行星,-0.1200000000000001,-0.2200000000000002,-0.3400000000000003
Giant Solar Shade,447,622.0,447,1.3938730853391685,1.39,888,2057.0,888,2.318485523385301,2.32,巨型日光遮蔽器,巨型日光遮蔽器,-0.1100000000000001,-0.18000000000000016,-0.29000000000000026
Giant Space Mirror,416,587.0,416,1.4131455399061033,1.41,747,1825.0,747,2.4438573315719947,2.44,巨型太空镜,巨型太空镜,-0.09000000000000008,-0.06000000000000005,-0.15000000000000013
Global Audit,15,21.0,15,1.44,1.44,21,48.0,21,2.3548387096774195,2.35,全球审计,全球审计,-0.06000000000000005,-0.1499999999999999,-0.20999999999999996
Grand Luna Academy,44,60.0,44,1.3888888888888888,1.39,13,31.0,13,2.4347826086956523,2.43,大月球学院,大月球学院,-0.1100000000000001,-0.06999999999999984,-0.17999999999999994
Grass,458,631.0,458,1.3803418803418803,1.38,961,2158.0,961,2.248197734294542,2.25,草,草,-0.1200000000000001,-0.25,-0.3700000000000001
Great Dam:ares,353,492.0,353,1.396694214876033,1.4,1231,2820.0,1231,2.2925060435132956,2.29,Great Dam:ares,Great Dam:ares,-0.10000000000000009,-0.20999999999999996,-0.31000000000000005
Great Dam:promo,132,178.0,132,1.3591549295774648,1.36,106,255.0,106,2.413793103448276,2.41,Great Dam:promo,Great Dam:promo,-0.1399999999999999,-0.08999999999999986,-0.22999999999999976
Great Escarpment Consortium,275,382.0,275,1.3929824561403508,1.39,235,565.0,235,2.4081632653061225,2.41,巨大断崖,巨大断崖,-0.1100000000000001,-0.08999999999999986,-0.19999999999999996
Greenhouses,562,789.0,562,1.4055944055944056,1.41,1691,3691.0,1691,2.1845972957084068,2.18,温室,温室,-0.09000000000000008,-0.31999999999999984,-0.4099999999999999
Gyropolis,572,801.0,572,1.402061855670103,1.4,737,1624.0,737,2.2074966532797857,2.21,旋转都会,旋转都会,-0.10000000000000009,-0.29000000000000004,-0.3900000000000001
HE3 Fusion Plant,22,29.0,22,1.375,1.38,11,22.0,11,2.238095238095238,2.24,HE3聚变能发电站,HE3聚变能发电站,-0.1200000000000001,-0.2599999999999998,-0.3799999999999999
HE3 Refinery,44,58.0,44,1.3518518518518519,1.35,21,46.0,21,2.2903225806451615,2.29,HE3精炼厂,HE3精炼厂,-0.1499999999999999,-0.20999999999999996,-0.3599999999999999
Habitat 14,43,59.0,43,1.3962264150943395,1.4,16,37.0,16,2.3846153846153846,2.38,第14号栖息地,第14号栖息地,-0.10000000000000009,-0.1200000000000001,-0.2200000000000002
Hackers,152,225.0,152,1.4814814814814814,1.48,113,304.0,113,2.6747967479674797,2.67,黑客,黑客,-0.020000000000000018,0.16999999999999993,0.1499999999999999
Harvest,548,744.0,548,1.3602150537634408,1.36,1311,2825.0,1311,2.157456472369417,2.16,丰收,丰收,-0.1399999999999999,-0.33999999999999986,-0.47999999999999976
Hay Maker,263,350.0,263,1.336996336996337,1.34,761,1676.0,761,2.2062256809338523,2.21,炎拳,炎拳,-0.15999999999999992,-0.29000000000000004,-0.44999999999999996
Heat Trappers,141,199.0,141,1.4172185430463575,1.42,234,592.0,234,2.528688524590164,2.53,热力捕获者,热力捕获者,-0.08000000000000007,0.029999999999999805,-0.050000000000000266
Heather,439,608.0,439,1.3875278396436526,1.39,851,1872.0,851,2.203252032520325,2.2,帚石楠,帚石楠,-0.1100000000000001,-0.2999999999999998,-0.4099999999999999
Heavy Taxation,538,752.0,538,1.3996350364963503,1.4,1173,2813.0,1173,2.3989856297548604,2.4,重税,重税,-0.10000000000000009,-0.10000000000000009,-0.20000000000000018
Heliostat Mirror Array,112,164.0,112,1.4672131147540983,1.47,355,909.0,355,2.558904109589041,2.56,日镜阵列,日镜阵列,-0.030000000000000027,0.06000000000000005,0.030000000000000027
Herbivores,329,421.0,329,1.2861356932153392,1.29,528,1131.0,528,2.1486988847583643,2.15,食草动物,食草动物,-0.20999999999999996,-0.3500000000000001,-0.56
Hermetic Order of Mars,288,413.0,288,1.436241610738255,1.44,518,1195.0,518,2.3106060606060606,2.31,火星秘教,火星秘教,-0.06000000000000005,-0.18999999999999995,-0.25
Hi-Tech Lab,525,713.0,525,1.360747663551402,1.36,932,2257.0,932,2.4225053078556265,2.42,高科技实验室,高科技实验室,-0.1399999999999999,-0.08000000000000007,-0.21999999999999997
High Temp. Superconductors,44,61.0,44,1.4074074074074074,1.41,782,1831.0,782,2.3434343434343434,2.34,超导体改进,超导体改进,-0.09000000000000008,-0.16000000000000014,-0.2500000000000002
Hired Raiders,527,738.0,527,1.4022346368715084,1.4,1331,3106.0,1331,2.3348247576435495,2.33,雇佣掠夺者,雇佣掠夺者,-0.10000000000000009,-0.16999999999999993,-0.27
Hired Raiders:u,19,28.0,19,1.4827586206896552,1.48,13,27.0,13,2.260869565217391,2.26,雇佣袭击者,雇佣袭击者,-0.020000000000000018,-0.2400000000000002,-0.26000000000000023
Homeostasis Bureau,491,687.0,491,1.401197604790419,1.4,939,2177.0,939,2.320337197049526,2.32,稳态管理局,稳态管理局,-0.10000000000000009,-0.18000000000000016,-0.28000000000000025
Hospitals,445,619.0,445,1.3934065934065933,1.39,1291,2914.0,1291,2.259031514219831,2.26,医院,医院,-0.1100000000000001,-0.2400000000000002,-0.3500000000000003
House Printing,497,708.0,497,1.4260355029585798,1.43,882,2223.0,882,2.5201793721973096,2.52,房屋印刷,房屋印刷,-0.07000000000000006,0.020000000000000018,-0.050000000000000044
Huygens Observatory,426,589.0,426,1.385321100917431,1.39,1365,3090.0,1365,2.2654545454545456,2.27,惠更斯天文台,惠更斯天文台,-0.1100000000000001,-0.22999999999999998,-0.3400000000000001
Hydrogen Processing Plant,112,155.0,112,1.3934426229508197,1.39,419,994.0,419,2.375291375291375,2.38,氢气处理厂,氢气处理厂,-0.1100000000000001,-0.1200000000000001,-0.2300000000000002
Hydrogen to Venus,437,612.0,437,1.4026845637583893,1.4,900,1962.0,900,2.1835164835164833,2.18,输送氢气到金星,输送氢气到金星,-0.10000000000000009,-0.31999999999999984,-0.41999999999999993
Hydrothermal Vent Archaea,473,628.0,473,1.3312629399585922,1.33,1358,3085.0,1358,2.2733918128654973,2.27,深海热泉细菌,深海热泉细菌,-0.16999999999999993,-0.22999999999999998,-0.3999999999999999
Hyperspace Drive Prototype,185,249.0,185,1.353846153846154,1.35,1098,2673.0,1098,2.435018050541516,2.44,超空间驱动原型,超空间驱动原型,-0.1499999999999999,-0.06000000000000005,-0.20999999999999996
Ice Asteroid,404,552.0,404,1.3695652173913044,1.37,935,2162.0,935,2.3142857142857145,2.31,结冰行星,结冰行星,-0.1299999999999999,-0.18999999999999995,-0.31999999999999984
Ice Cap Melting,186,245.0,186,1.3265306122448979,1.33,257,579.0,257,2.262172284644195,2.26,冰川融化,冰川融化,-0.16999999999999993,-0.2400000000000002,-0.41000000000000014
Ice Moon Colony,457,641.0,457,1.404710920770878,1.4,1009,2415.0,1009,2.39450441609421,2.39,冰月殖民地,冰月殖民地,-0.10000000000000009,-0.10999999999999988,-0.20999999999999996
Icy Impactors,113,153.0,113,1.3658536585365855,1.37,96,253.0,96,2.6226415094339623,2.62,冰体撞击器,冰体撞击器,-0.1299999999999999,0.1200000000000001,-0.009999999999999787
Immigrant City,579,814.0,579,1.4074702886247878,1.41,1353,3189.0,1353,2.3580337490829053,2.36,移民城市,移民城市,-0.09000000000000008,-0.14000000000000012,-0.2300000000000002
Immigration Shuttles,456,633.0,456,1.390557939914163,1.39,616,1425.0,616,2.31629392971246,2.32,移民航天机,移民航天机,-0.1100000000000001,-0.18000000000000016,-0.29000000000000026
Impactor Swarm,377,524.0,377,1.392764857881137,1.39,755,1672.0,755,2.2183006535947714,2.22,冲击虫群,冲击虫群,-0.1100000000000001,-0.2799999999999998,-0.3899999999999999
Import of Advanced GHG,470,654.0,470,1.39375,1.39,877,2075.0,877,2.367531003382187,2.37,输入高级温室气体,输入高级温室气体,-0.1100000000000001,-0.1299999999999999,-0.24
Imported GHG,590,833.0,590,1.4133333333333333,1.41,1229,2965.0,1229,2.413236481033091,2.41,引入温室气体,引入温室气体,-0.09000000000000008,-0.08999999999999986,-0.17999999999999994
Imported Heavy Machinery,15,20.0,15,1.4,1.4,18,51.0,18,2.7142857142857144,2.71,进口重型机械,进口重型机械,-0.10000000000000009,0.20999999999999996,0.10999999999999988
Imported Hydrogen,617,871.0,617,1.4130781499202552,1.41,1562,3547.0,1562,2.272264631043257,2.27,外部注入氢气,外部注入氢气,-0.09000000000000008,-0.22999999999999998,-0.32000000000000006
Imported Nitrogen,622,850.0,622,1.3686708860759493,1.37,1374,2941.0,1374,2.143063583815029,2.14,引入氮气,引入氮气,-0.1299999999999999,-0.3599999999999999,-0.48999999999999977
Imported Nutrients,607,830.0,607,1.3695299837925445,1.37,1469,3244.0,1469,2.2102772143340093,2.21,营养物输入,营养物输入,-0.1299999999999999,-0.29000000000000004,-0.41999999999999993
Indentured Workers,557,784.0,557,1.4091710758377425,1.41,1535,3613.0,1535,2.354692556634304,2.35,合同工,合同工,-0.09000000000000008,-0.1499999999999999,-0.24
Industrial Center,112,160.0,112,1.4344262295081966,1.43,63,142.0,63,2.287671232876712,2.29,工业中心,工业中心,-0.07000000000000006,-0.20999999999999996,-0.28
Industrial Center:ares,372,529.0,372,1.4240837696335078,1.42,1352,3018.0,1352,2.2342143906020557,2.23,Industrial Center:ares,Industrial Center:ares,-0.08000000000000007,-0.27,-0.3500000000000001
Industrial Microbes,474,679.0,474,1.4338842975206612,1.43,911,2225.0,911,2.44299674267101,2.44,工业微生物,工业微生物,-0.07000000000000006,-0.06000000000000005,-0.13000000000000012
Insects,473,638.0,473,1.3519668737060042,1.35,853,1788.0,853,2.100811123986095,2.1,昆虫,昆虫,-0.1499999999999999,-0.3999999999999999,-0.5499999999999998
Insulation,182,237.0,182,1.3125,1.31,239,548.0,239,2.3012048192771086,2.3,绝缘,绝缘,-0.18999999999999995,-0.20000000000000018,-0.3900000000000001
Interplanetary Alliance,597,827.0,597,1.3871499176276771,1.39,1663,3783.0,1663,2.276150627615063,2.28,星际联邦,星际联邦,-0.1100000000000001,-0.2200000000000002,-0.3300000000000003
Interplanetary Colony Ship,659,929.0,659,1.4110612855007474,1.41,1574,3714.0,1574,2.360479797979798,2.36,星际殖民船,星际殖民船,-0.09000000000000008,-0.14000000000000012,-0.2300000000000002
Interplanetary Trade,540,773.0,540,1.4327272727272726,1.43,597,1446.0,597,2.4233937397034597,2.42,星际贸易,星际贸易,-0.07000000000000006,-0.08000000000000007,-0.15000000000000013
Interplanetary Transport,337,456.0,337,1.3573487031700289,1.36,1067,2430.0,1067,2.279480037140204,2.28,星际运输,星际运输,-0.1399999999999999,-0.2200000000000002,-0.3600000000000001
Interstellar Colony Ship,471,653.0,471,1.3887733887733889,1.39,942,2158.0,942,2.293067226890756,2.29,星际殖民飞船,星际殖民飞船,-0.1100000000000001,-0.20999999999999996,-0.32000000000000006
Invention Contest,699,970.0,699,1.3892806770098731,1.39,1778,4196.0,1778,2.360738255033557,2.36,发明竞争,发明竞争,-0.1100000000000001,-0.14000000000000012,-0.2500000000000002
Inventors' Guild,649,910.0,649,1.4036418816388467,1.4,1155,2916.0,1155,2.5244635193133047,2.52,发明家公会,发明家公会,-0.10000000000000009,0.020000000000000018,-0.08000000000000007
Investment Loan,666,937.0,666,1.4082840236686391,1.41,1851,4422.0,1851,2.3895754970445995,2.39,投资性贷款,投资性贷款,-0.09000000000000008,-0.10999999999999988,-0.19999999999999996
Io Mining Industries,623,847.0,623,1.3617693522906793,1.36,1032,2417.0,1032,2.343570057581574,2.34,木卫一矿业,木卫一矿业,-0.1399999999999999,-0.16000000000000014,-0.30000000000000004
Io Sulphur Research,679,941.0,679,1.3875181422351233,1.39,1517,3512.0,1517,2.3163064833005893,2.32,木卫一的硫磺研究,木卫一的硫磺研究,-0.1100000000000001,-0.18000000000000016,-0.29000000000000026
Ironworks,122,168.0,122,1.3863636363636365,1.39,99,236.0,99,2.3944954128440368,2.39,炼铁厂,炼铁厂,-0.1100000000000001,-0.10999999999999988,-0.21999999999999997
Ishtar Expedition,666,919.0,666,1.3816568047337279,1.38,1691,3717.0,1691,2.1998824221046442,2.2,伊什塔尔远征,伊什塔尔远征,-0.1200000000000001,-0.2999999999999998,-0.41999999999999993
Ishtar Mining,605,859.0,605,1.4211382113821138,1.42,1260,3007.0,1260,2.3874015748031496,2.39,伊什塔尔矿业,伊什塔尔矿业,-0.08000000000000007,-0.10999999999999988,-0.18999999999999995
Jet Stream Microscrappers,181,253.0,181,1.4031413612565444,1.4,427,1011.0,427,2.3707093821510297,2.37,急流采集器,急流采集器,-0.10000000000000009,-0.1299999999999999,-0.22999999999999998
Jovian Defense Department,508,710.0,508,1.3996138996138996,1.4,1177,2775.0,1177,2.358887952822241,2.36,木星防空署,木星防空署,-0.10000000000000009,-0.14000000000000012,-0.2400000000000002
Jovian Embassy,602,843.0,602,1.4019607843137254,1.4,1406,3317.0,1406,2.360169491525424,2.36,木星大使馆,木星大使馆,-0.10000000000000009,-0.14000000000000012,-0.2400000000000002
Jovian Envoys,115,175.0,115,1.52,1.52,731,1657.0,731,2.2699055330634277,2.27,木星来使,木星来使,0.020000000000000018,-0.22999999999999998,-0.20999999999999996
Jovian Expedition,500,703.0,500,1.407843137254902,1.41,1349,3140.0,1349,2.328918322295806,2.33,木星远征,木星远征,-0.09000000000000008,-0.16999999999999993,-0.26
Jovian Lanterns,336,451.0,336,1.346820809248555,1.35,729,1648.0,729,2.263870094722598,2.26,木星灯,木星灯,-0.1499999999999999,-0.2400000000000002,-0.3900000000000001
Jupiter Floating Station,538,742.0,538,1.3813868613138687,1.38,1232,2817.0,1232,2.288244766505636,2.29,木星浮动站,木星浮动站,-0.1200000000000001,-0.20999999999999996,-0.33000000000000007
Kaguya Tech,621,854.0,621,1.3771790808240887,1.38,1319,2863.0,1319,2.1730624529721596,2.17,辉夜科技,辉夜科技,-0.1200000000000001,-0.33000000000000007,-0.4500000000000002
Kelp Farming,464,641.0,464,1.3839662447257384,1.38,1133,2535.0,1133,2.2397200349956257,2.24,养殖海藻,养殖海藻,-0.1200000000000001,-0.2599999999999998,-0.3799999999999999
Kickstarter,276,376.0,276,1.367132867132867,1.37,985,2276.0,985,2.312562814070352,2.31,KS众筹,KS众筹,-0.1299999999999999,-0.18999999999999995,-0.31999999999999984
L1 Trade Terminal,586,793.0,586,1.3557046979865772,1.36,976,2214.0,976,2.27079107505071,2.27,L1 贸易终端,L1 贸易终端,-0.1399999999999999,-0.22999999999999998,-0.3699999999999999
Labor Trafficking,94,124.0,94,1.3365384615384615,1.34,296,712.0,296,2.4084967320261437,2.41,劳动力贩卖,劳动力贩卖,-0.15999999999999992,-0.08999999999999986,-0.24999999999999978
Lagrange Observatory,701,981.0,701,1.40084388185654,1.4,1802,4468.0,1802,2.4795805739514347,2.48,拉格朗日观察点,拉格朗日观察点,-0.10000000000000009,-0.020000000000000018,-0.1200000000000001
